9:
 num     #instances         #bytes  class name (module)
 226:           636          15264  kotlin.reflect.jvm.internal.KCallableImpl$$Lambda$5
 227:           172          15136  kotlin.reflect.jvm.internal.impl.serialization.deserialization.DeserializationContext
 228:           135          15120  io.grpc.internal.TransportTracer
 229:           376          15040  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.6)
 230:           206          14832  java.util.concurrent.ThreadPoolExecutor$Worker (java.base@21.0.6)
 231:           370          14800  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.6)
 232:           264          14784  sun.security.util.KnownOIDs (java.base@21.0.6)
 233:           205          14760  ch.qos.logback.classic.Logger
 234:           184          14720  com.google.inject.internal.ProviderInstanceBindingImpl
 235:           203          14616  java.util.zip.Inflater (java.base@21.0.6)
 236:           303          14544  java.util.concurrent.FutureTask (java.base@21.0.6)
 237:           362          14480  io.netty.channel.DefaultChannelId
 238:           223          14272  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Constructor
 239:           178          14240  java.io.FileCleanable (java.base@21.0.6)
 240:            61          14152  io.grpc.internal.InternalSubchannel
 241:           584          14016  com.google.common.cache.LocalCache$StrongValueReference
 242:           284          13632  java.lang.Thread$FieldHolder (java.base@21.0.6)
 243:           189          13608  java.net.NetworkInterface (java.base@21.0.6)
 244:           339          13560  io.netty.channel.AdaptiveRecvByteBufAllocator
 245:            65          13520  kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedClassDescriptor
 246:           280          13440  com.fasterxml.jackson.databind.introspect.AnnotatedParameter
 247:           336          13440  io.grpc.InternalLogId
 248:           105          13440  java.util.regex.Pattern (java.base@21.0.6)
 249:           208          13312  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@21.0.6)
 250:           414          13248  io.netty.channel.SucceededChannelFuture
 251:           828          13248  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.6)
 252:           236          13216  kotlin.reflect.jvm.internal.impl.serialization.deserialization.MemberDeserializer$$Lambda$5
 253:           141          12864  [Ljava.security.ProtectionDomain; (java.base@21.0.6)
 254:           532          12768  java.util.concurrent.atomic.AtomicReferenceArray (java.base@21.0.6)
 255:           499          12720  [Ljava.lang.reflect.Constructor; (java.base@21.0.6)
 256:           174          12528  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.6)
 257:           104          12480  com.google.protobuf.DescriptorProtos$DescriptorProto
 258:           222          12432  com.aerospike.vector.index.InternalIndexId
 259:           172          12384  kotlin.reflect.jvm.internal.impl.serialization.deserialization.TypeDeserializer
 260:           103          12360  com.google.protobuf.Descriptors$Descriptor
 261:           309          12360  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedLazyValue
 262:           386          12352  com.fasterxml.jackson.databind.introspect.MemberKey
 263:           257          12336  io.netty.util.Recycler$LocalPool
 264:           219          12264  java.util.TreeMap$Entry (java.base@21.0.6)
 265:           255          12240  com.google.common.collect.LinkedHashMultiset
 266:           507          12168  com.google.common.collect.SingletonImmutableList
 267:           380          12160  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.6)
 268:           505          12120  kotlin.reflect.jvm.internal.impl.protobuf.LiteralByteString
 269:           135          11880  io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder
 270:           135          11880  io.netty.handler.codec.http2.HpackEncoder
 271:           492          11808  io.grpc.internal.ReflectionLongAdderCounter
 272:           210          11760  java.lang.ClassValue$Entry (java.base@21.0.6)
 273:           360          11520  kotlin.reflect.jvm.internal.impl.descriptors.impl.FieldDescriptorImpl
 274:           476          11424  kotlin.reflect.jvm.internal.impl.utils.SmartSet
 275:           117          11232  java.util.logging.Logger (java.logging@21.0.6)
 276:            35          11200  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@21.0.6)
 277:           232          11136  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@21.0.6)
 278:           278          11120  kotlin.reflect.jvm.internal.impl.types.KotlinTypeFactory$$Lambda$0
 279:           342          10944  io.grpc.EquivalentAddressGroup
 280:           195          10920  java.io.FileDescriptor (java.base@21.0.6)
 281:           339          10848  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.6)
 282:           135          10800  io.netty.handler.codec.http2.DefaultHttp2Connection
 283:           221          10608  sun.security.util.ObjectIdentifier (java.base@21.0.6)
 284:           331          10592  com.google.inject.internal.WeakKeySet$KeyAndSource
 285:           330          10560  com.github.benmanes.caffeine.cache.TimerWheel$Sentinel
 286:           163          10432  com.aerospike.vector.index.BatchIndexMetadata
 287:           217          10416  com.aerospike.vector.client.proto.IndexId
 288:           186          10416  org.glassfish.hk2.utilities.cache.LRUHybridCache$OriginThreadAwareFuture
 289:           322          10304  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.6)
 290:           143          10296  jdk.internal.ref.Cleaner (java.base@21.0.6)
 291:           426          10224  org.glassfish.jersey.internal.routing.CombinedMediaType$EffectiveMediaType
 292:           255          10200  io.netty.channel.epoll.EpollRecvByteAllocatorStreamingHandle
 293:           424          10176  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 294:           212          10176  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$TypeTable
 295:           316          10112  kotlin.reflect.jvm.internal.KFunctionImpl$$Lambda$0
 296:           420          10080  org.glassfish.hk2.utilities.reflection.internal.MethodWrapperImpl
 297:           209          10032  java.util.logging.LogManager$LogNode (java.logging@21.0.6)
 298:           139          10008  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.6)
 299:           185           9944  [Lsun.reflect.generics.tree.TypeSignature; (java.base@21.0.6)
 300:           155           9920  java.security.CodeSource (java.base@21.0.6)
 301:           246           9840  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@21.0.6)
 302:           307           9824  javax.management.ImmutableDescriptor (java.management@21.0.6)
 303:           306           9792  java.net.InterfaceAddress (java.base@21.0.6)
 304:           153           9792  java.security.AccessControlContext (java.base@21.0.6)
 305:           174           9744  java.io.RandomAccessFile (java.base@21.0.6)
 306:           135           9720  io.grpc.netty.AbstractNettyHandler$FlowControlPinger
 307:           135           9720  io.netty.handler.codec.http2.Http2Settings
 308:           199           9552  java.util.zip.ZipFile$CleanableResource (java.base@21.0.6)
 309:           132           9504  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.6)
 310:           118           9440  com.google.inject.internal.ConstructorBindingImpl
 311:           292           9344  com.google.inject.spi.Message
 312:           384           9216  io.netty.util.collection.IntObjectHashMap$1
 313:           384           9216  io.netty.util.collection.IntObjectHashMap$EntrySet
 314:           384           9216  io.netty.util.collection.IntObjectHashMap$KeySet
 315:           288           9216  io.netty.util.internal.LongAdderCounter
 316:           228           9120  com.google.inject.spi.InjectionPoint
 317:           102           8976  io.netty.buffer.PoolThreadCache
 318:           224           8960  com.fasterxml.jackson.databind.PropertyName
 319:            26           8944  io.grpc.netty.NettyServerHandler
 320:           372           8928  java.util.concurrent.atomic.AtomicLong (java.base@21.0.6)
 321:           139           8896  com.google.inject.internal.SingletonScope$1
 322:           185           8880  sun.reflect.generics.tree.MethodTypeSignature (java.base@21.0.6)
 323:           250           8776  [Lcom.google.protobuf.Descriptors$FieldDescriptor;
 324:           109           8720  io.grpc.internal.CallCredentialsApplyingTransportFactory$CallCredentialsApplyingTransport
 325:           362           8688  io.netty.channel.VoidChannelPromise$1
 326:           362           8688  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe$1
 327:           362           8688  io.netty.channel.epoll.LinuxSocket
